hardware,embedding_index,horizon,method,time,result
singapore,19,3,bellman,0.009920,1
singapore,20,3,bellman,0.010060,1
singapore,21,3,bellman,0.010620,1
singapore,22,3,bellman,0.009980,1
singapore,23,3,bellman,0.010420,1
singapore,24,3,bellman,0.010230,1
singapore,25,3,bellman,0.010760,1
singapore,26,3,bellman,0.011380,1
singapore,27,3,bellman,0.011680,1
singapore,28,3,bellman,0.010670,1
singapore,29,3,bellman,0.011570,1
singapore,30,3,bellman,0.011690,1
singapore,31,3,bellman,0.011990,1
singapore,32,3,bellman,0.012170,1
singapore,33,3,bellman,0.011760,1
singapore,34,3,bellman,0.012060,1
singapore,35,3,bellman,0.012510,1
sydney,0,3,bellman,0.006590,1
sydney,1,3,bellman,0.006870,1
sydney,2,3,bellman,0.006810,1
sydney,3,3,bellman,0.006970,1
sydney,4,3,bellman,0.008120,1
sydney,5,3,bellman,0.007310,1
sydney,6,3,bellman,0.008170,1
sydney,7,3,bellman,0.008170,1
sydney,8,3,bellman,0.008800,1
sydney,9,3,bellman,0.008820,1
sydney,10,3,bellman,0.009220,1
sydney,11,3,bellman,0.009360,1
sydney,12,3,bellman,0.009960,1
sydney,13,3,bellman,0.009770,1
sydney,14,3,bellman,0.010360,1
sydney,15,3,bellman,0.010600,1
sydney,16,3,bellman,0.010700,1
sydney,17,3,bellman,0.010950,1
sydney,18,3,bellman,0.011550,1
sydney,19,3,bellman,0.010940,1
sydney,20,3,bellman,0.011120,1
sydney,21,3,bellman,0.011890,1
sydney,22,3,bellman,0.011580,1
sydney,23,3,bellman,0.012480,1
sydney,24,3,bellman,0.012500,1
sydney,25,3,bellman,0.013230,1
sydney,26,3,bellman,0.013150,1
sydney,27,3,bellman,0.013690,1
sydney,28,3,bellman,0.012810,1
sydney,29,3,bellman,0.013860,1
sydney,30,3,bellman,0.013800,1
sydney,31,3,bellman,0.014400,1
sydney,32,3,bellman,0.014720,1
sydney,33,3,bellman,0.014880,1
sydney,34,3,bellman,0.015480,1
sydney,35,3,bellman,0.015150,1
sydney,36,3,bellman,0.015430,1
perfect_hardware,0,3,bellman,0.000860,1
cairo,0,3,bellman,0.008060,1
cairo,1,3,bellman,0.012420,1
cairo,2,3,bellman,0.014390,1
casablanca,0,3,bellman,0.006260,1
casablanca,1,3,bellman,0.006350,1
casablanca,2,3,bellman,0.006560,1
casablanca,3,3,bellman,0.007360,1
casablanca,4,3,bellman,0.007490,1
casablanca,5,3,bellman,0.007870,1
casablanca,6,3,bellman,0.008090,1
johannesburg,0,3,bellman,0.006180,1
johannesburg,1,3,bellman,0.006780,1
johannesburg,2,3,bellman,0.007470,1
johannesburg,3,3,bellman,0.008390,1
johannesburg,4,3,bellman,0.006510,1
johannesburg,5,3,bellman,0.006680,1
johannesburg,6,3,bellman,0.007800,1
johannesburg,7,3,bellman,0.008800,1
johannesburg,8,3,bellman,0.009850,1
johannesburg,9,3,bellman,0.008130,1
johannesburg,10,3,bellman,0.008700,1
johannesburg,11,3,bellman,0.009200,1
johannesburg,12,3,bellman,0.009790,1
johannesburg,13,3,bellman,0.008300,1
johannesburg,14,3,bellman,0.008810,1
johannesburg,15,3,bellman,0.008690,1
johannesburg,16,3,bellman,0.009500,1
johannesburg,17,3,bellman,0.009950,1
johannesburg,18,3,bellman,0.010010,1
johannesburg,19,3,bellman,0.010130,1
johannesburg,20,3,bellman,0.010620,1
johannesburg,21,3,bellman,0.011230,1
johannesburg,22,3,bellman,0.010100,1
johannesburg,23,3,bellman,0.010480,1
johannesburg,24,3,bellman,0.010960,1
johannesburg,25,3,bellman,0.010180,1
