,hardware,embedding_index,horizon,probability_opt,perfect_opt,hardware_scenario,diff
418,auckland,71,1,0.4974,0.49733,auckland_71,7.00000000000145e-05
421,auckland,72,1,0.4974,0.49733,auckland_72,7.00000000000145e-05
424,auckland,73,1,0.49812,0.4968,auckland_73,0.0013199999999999878
427,auckland,74,1,0.49812,0.4968,auckland_74,0.0013199999999999878
430,auckland,75,1,0.49748,0.4968,auckland_75,0.0006799999999999584
433,auckland,76,1,0.49748,0.4968,auckland_76,0.0006799999999999584
436,auckland,85,1,0.49776,0.49743,auckland_85,0.00032999999999999696
439,auckland,86,1,0.49776,0.49743,auckland_86,0.00032999999999999696
442,auckland,87,1,0.49756,0.4974,auckland_87,0.00015999999999999348
443,auckland,88,1,0.49744,0.4974,auckland_88,3.999999999998449e-05
446,auckland,89,1,0.49744,0.49675,auckland_89,0.0006899999999999684
447,auckland,90,1,0.49744,0.49675,auckland_90,0.0006899999999999684
450,auckland,91,1,0.49744,0.49683,auckland_91,0.0006099999999999994
451,auckland,92,1,0.49684,0.49683,auckland_92,1.0000000000010001e-05
454,auckland,96,1,0.49676,0.49221,auckland_96,0.0045499999999999985
457,auckland,98,1,0.49828,0.49477,auckland_98,0.003510000000000013
460,auckland,99,1,0.49828,0.49477,auckland_99,0.003510000000000013
463,auckland,100,1,0.4974,0.4968,auckland_100,0.0005999999999999894
466,auckland,101,1,0.4974,0.4968,auckland_101,0.0005999999999999894
471,auckland,103,1,0.49732,0.49722,auckland_103,9.999999999998899e-05
476,belem,2,1,0.49536,0.49448,belem_2,0.0008800000000000474
477,belem,3,1,0.49508,0.49448,belem_3,0.0006000000000000449
480,belem,6,1,0.49644,0.49535,belem_6,0.0010899999999999799
481,belem,7,1,0.49536,0.49535,belem_7,1.0000000000010001e-05
484,belem,8,1,0.49536,0.49535,belem_8,1.0000000000010001e-05
487,belem,10,1,0.49644,0.49508,belem_10,0.0013599999999999723
490,belem,11,1,0.49644,0.49508,belem_11,0.0013599999999999723
493,boeblingen,0,1,0.49796,0.49526,boeblingen_0,0.0027000000000000357
496,boeblingen,1,1,0.49796,0.49526,boeblingen_1,0.0027000000000000357
