hardware,embedding_index,algorithm_index,probability,method
mumbai,1,4,0.990760,bellman
nairobi,0,4,0.998640,bellman
nairobi,1,4,0.997300,bellman
osaka,0,4,0.999660,bellman
osaka,1,4,0.596790,bellman
oslo,0,4,0.999350,bellman
oslo,1,4,0.999150,bellman
ourense,0,4,0.999230,bellman
ourense,1,4,0.997590,bellman
paris,0,4,0.999190,bellman
paris,1,4,0.932510,bellman
perth,0,4,0.998960,bellman
perth,1,4,0.998000,bellman
poughkeepsie,0,4,0.996410,bellman
poughkeepsie,1,4,0.934000,bellman
prague,0,4,0.999820,bellman
prague,1,4,0.989020,bellman
quito,0,4,0.994280,bellman
quito,1,4,0.985090,bellman
rochester,0,4,0.996000,bellman
rochester,1,4,0.674330,bellman
rome,0,4,0.999150,bellman
rome,1,4,0.999180,bellman
santiago,0,4,0.999550,bellman
santiago,1,4,0.999310,bellman
singapore,0,4,0.998330,bellman
singapore,1,4,0.992110,bellman
sydney,0,4,0.999510,bellman
sydney,1,4,0.985430,bellman
torino,0,4,0.999240,bellman
torino,1,4,0.947670,bellman
toronto,0,4,0.999340,bellman
toronto,1,4,0.867450,bellman
valencia,0,4,0.999110,bellman
valencia,1,4,0.997150,bellman
vigo,0,4,0.998990,bellman
vigo,1,4,0.995300,bellman
washington,0,4,0.999360,bellman
washington,1,4,0.804990,bellman
yorktown,0,4,0.998840,bellman
yorktown,1,4,0.842890,bellman
perfect_hardware,0,4,1.000000,bellman
algiers,0,5,0.999450,bellman
algiers,1,5,0.996270,bellman
almaden,0,5,0.997770,bellman
almaden,1,5,0.911640,bellman
athens,0,5,0.999060,bellman
athens,1,5,0.999110,bellman
auckland,0,5,0.999370,bellman
auckland,1,5,0.998890,bellman
belem,0,5,0.999110,bellman
belem,1,5,0.998790,bellman
boeblingen,0,5,0.998750,bellman
boeblingen,1,5,0.944650,bellman
bogota,0,5,0.999320,bellman
bogota,1,5,0.995970,bellman
brisbane,0,5,0.999550,bellman
brisbane,1,5,0.786010,bellman
brooklyn,0,5,0.999300,bellman
brooklyn,1,5,0.983100,bellman
burlington,0,5,0.998350,bellman
burlington,1,5,0.996160,bellman
cairo,0,5,0.999340,bellman
cairo,1,5,0.960020,bellman
cambridge,0,5,0.997740,bellman
cambridge,1,5,0.697840,bellman
casablanca,0,5,0.997770,bellman
casablanca,1,5,0.998560,bellman
cusco,0,5,0.999530,bellman
cusco,1,5,0.663270,bellman
essex,0,5,0.995940,bellman
essex,1,5,0.994120,bellman
fez,0,5,0.999160,bellman
fez,1,5,0.992520,bellman
geneva,0,5,0.998270,bellman
