hardware,embedding_index,horizon,method,time,result
manhattan,2,3,bellman,0.066110,1
manhattan,2,3,convex,0.198910,1
manhattan,3,1,bellman,0.011640,1
manhattan,3,1,convex,0.032970,1
manhattan,3,2,bellman,0.023130,1
manhattan,3,2,convex,0.029420,1
manhattan,3,3,bellman,0.110530,1
manhattan,3,3,convex,0.367460,1
manila,0,1,bellman,0.004570,1
manila,0,1,convex,0.017260,1
manila,0,2,bellman,0.010220,1
manila,0,2,convex,0.013610,1
manila,0,3,bellman,0.015230,1
manila,0,3,convex,0.013640,1
manila,1,1,bellman,0.003930,1
manila,1,1,convex,0.016110,1
manila,1,2,bellman,0.009290,1
manila,1,2,convex,0.012660,1
manila,1,3,bellman,0.014330,1
manila,1,3,convex,0.012680,1
montreal,0,1,bellman,0.006960,1
montreal,0,1,convex,0.023530,1
montreal,0,2,bellman,0.014740,1
montreal,0,2,convex,0.019920,1
montreal,0,3,bellman,0.022090,1
montreal,0,3,convex,0.020050,1
montreal,1,1,bellman,0.007660,1
montreal,1,1,convex,0.026430,1
montreal,1,2,bellman,0.017070,1
montreal,1,2,convex,0.023080,1
montreal,1,3,bellman,0.025750,1
montreal,1,3,convex,0.023110,1
montreal,2,1,bellman,0.005850,1
montreal,2,1,convex,0.021020,1
montreal,2,2,bellman,0.013060,1
montreal,2,2,convex,0.017700,1
montreal,2,3,bellman,0.019790,1
montreal,2,3,convex,0.017870,1
montreal,3,1,bellman,0.007680,1
montreal,3,1,convex,0.024140,1
montreal,3,2,bellman,0.015660,1
montreal,3,2,convex,0.020950,1
montreal,3,3,bellman,0.024140,1
montreal,3,3,convex,0.020760,1
mumbai,0,1,bellman,0.007510,1
mumbai,0,1,convex,0.027320,1
mumbai,0,2,bellman,0.017370,1
mumbai,0,2,convex,0.023640,1
mumbai,0,3,bellman,0.026070,1
mumbai,0,3,convex,0.023730,1
mumbai,1,1,bellman,0.008050,1
mumbai,1,1,convex,0.027840,1
mumbai,1,2,bellman,0.017850,1
mumbai,1,2,convex,0.024550,1
mumbai,1,3,bellman,0.026760,1
mumbai,1,3,convex,0.024510,1
mumbai,2,1,bellman,0.004680,1
mumbai,2,1,convex,0.017420,1
mumbai,2,2,bellman,0.010490,1
mumbai,2,2,convex,0.013980,1
mumbai,2,3,bellman,0.015580,1
mumbai,2,3,convex,0.013760,1
mumbai,3,1,bellman,0.005810,1
mumbai,3,1,convex,0.019650,1
mumbai,3,2,bellman,0.012290,1
mumbai,3,2,convex,0.016270,1
mumbai,3,3,bellman,0.018790,1
mumbai,3,3,convex,0.016350,1
nairobi,0,1,bellman,0.004200,1
nairobi,0,1,convex,0.016470,1
nairobi,0,2,bellman,0.009510,1
nairobi,0,2,convex,0.012720,1
nairobi,0,3,bellman,0.014200,1
nairobi,0,3,convex,0.012800,1
nairobi,1,1,bellman,0.004330,1
nairobi,1,1,convex,0.017450,1
nairobi,1,2,bellman,0.009930,1
nairobi,1,2,convex,0.013500,1
nairobi,1,3,bellman,0.015240,1
nairobi,1,3,convex,0.054690,1
nairobi,2,1,bellman,0.004290,1
nairobi,2,1,convex,0.016990,1
nairobi,2,2,bellman,0.009580,1
nairobi,2,2,convex,0.013590,1
nairobi,2,3,bellman,0.017710,1
nairobi,2,3,convex,0.020490,1
nairobi,3,1,bellman,0.008960,1
nairobi,3,1,convex,0.021560,1
nairobi,3,2,bellman,0.014470,1
nairobi,3,2,convex,0.016400,1
nairobi,3,3,bellman,0.018180,1
nairobi,3,3,convex,0.064190,1
oslo,0,1,bellman,0.004830,1
oslo,0,1,convex,0.021120,1
oslo,0,2,bellman,0.011010,1
oslo,0,2,convex,0.015240,1
oslo,0,3,bellman,0.016990,1
oslo,0,3,convex,0.017100,1
oslo,1,1,bellman,0.005160,1
oslo,1,1,convex,0.024660,1
oslo,1,2,bellman,0.014400,1
oslo,1,2,convex,0.017450,1
oslo,1,3,bellman,0.019460,1
oslo,1,3,convex,0.016390,1
oslo,2,1,bellman,0.005300,1
oslo,2,1,convex,0.019860,1
oslo,2,2,bellman,0.011380,1
oslo,2,2,convex,0.015700,1
oslo,2,3,bellman,0.043780,1
oslo,2,3,convex,0.044610,1
ourense,0,1,bellman,0.008100,1
ourense,0,1,convex,0.018620,1
ourense,0,2,bellman,0.010090,1
ourense,0,2,convex,0.013820,1
ourense,0,3,bellman,0.015600,1
ourense,0,3,convex,0.013810,1
ourense,1,1,bellman,0.004190,1
ourense,1,1,convex,0.017090,1
ourense,1,2,bellman,0.009760,1
ourense,1,2,convex,0.013220,1
ourense,1,3,bellman,0.014720,1
ourense,1,3,convex,0.014510,1
ourense,2,1,bellman,0.004500,1
ourense,2,1,convex,0.016960,1
ourense,2,2,bellman,0.009540,1
ourense,2,2,convex,0.013260,1
ourense,2,3,bellman,0.015430,1
ourense,2,3,convex,0.013470,1
paris,0,1,bellman,0.008400,1
paris,0,1,convex,0.029010,1
paris,0,2,bellman,0.018640,1
paris,0,2,convex,0.025600,1
paris,0,3,bellman,0.028120,1
paris,0,3,convex,0.025600,1
paris,1,1,bellman,0.008690,1
paris,1,1,convex,0.030770,1
paris,1,2,bellman,0.020290,1
paris,1,2,convex,0.027420,1
paris,1,3,bellman,0.029990,1
paris,1,3,convex,0.093140,1
paris,2,1,bellman,0.004680,1
paris,2,1,convex,0.017390,1
paris,2,2,bellman,0.010210,1
paris,2,2,convex,0.016450,1
paris,2,3,bellman,0.015680,1
paris,2,3,convex,0.014200,1
paris,3,1,bellman,0.007840,1
paris,3,1,convex,0.023910,1
paris,3,2,bellman,0.015490,1
paris,3,2,convex,0.020770,1
paris,3,3,bellman,0.024180,1
paris,3,3,convex,0.020490,1
perth,0,1,bellman,0.004980,1
perth,0,1,convex,0.017290,1
perth,0,2,bellman,0.010310,1
perth,0,2,convex,0.013920,1
perth,0,3,bellman,0.015700,1
perth,0,3,convex,0.013560,1
perth,1,1,bellman,0.004780,1
perth,1,1,convex,0.018090,1
perth,1,2,bellman,0.010200,1
perth,1,2,convex,0.014440,1
perth,1,3,bellman,0.016120,1
perth,1,3,convex,0.014060,1
perth,2,1,bellman,0.005170,1
perth,2,1,convex,0.018190,1
perth,2,2,bellman,0.010820,1
perth,2,2,convex,0.014760,1
perth,2,3,bellman,0.016670,1
perth,2,3,convex,0.014820,1
poughkeepsie,0,1,bellman,0.006840,1
poughkeepsie,0,1,convex,0.024530,1
poughkeepsie,0,2,bellman,0.014900,1
poughkeepsie,0,2,convex,0.020930,1
poughkeepsie,0,3,bellman,0.023120,1
poughkeepsie,0,3,convex,0.020600,1
poughkeepsie,1,1,bellman,0.007130,1
poughkeepsie,1,1,convex,0.024730,1
poughkeepsie,1,2,bellman,0.015310,1
poughkeepsie,1,2,convex,0.021270,1
poughkeepsie,1,3,bellman,0.023260,1
poughkeepsie,1,3,convex,0.021320,1
poughkeepsie,2,1,bellman,0.006220,1
poughkeepsie,2,1,convex,0.021120,1
poughkeepsie,2,2,bellman,0.012840,1
poughkeepsie,2,2,convex,0.017620,1
poughkeepsie,2,3,bellman,0.020170,1
poughkeepsie,2,3,convex,0.017600,1
quito,0,1,bellman,0.003860,1
quito,0,1,convex,0.016000,1
quito,0,2,bellman,0.008610,1
quito,0,2,convex,0.012040,1
quito,0,3,bellman,0.013620,1
quito,0,3,convex,0.012210,1
quito,1,1,bellman,0.004250,1
quito,1,1,convex,0.016320,1
quito,1,2,bellman,0.009390,1
quito,1,2,convex,0.012850,1
quito,1,3,bellman,0.014310,1
quito,1,3,convex,0.012810,1
rochester,0,1,bellman,0.008000,1
rochester,0,1,convex,0.022960,1
rochester,0,2,bellman,0.014110,1
rochester,0,2,convex,0.019330,1
rochester,0,3,bellman,0.022220,1
rochester,0,3,convex,0.019440,1
rochester,1,1,bellman,0.008400,1
rochester,1,1,convex,0.025960,1
rochester,1,2,bellman,0.010140,1
rochester,1,2,convex,0.023050,1
rochester,1,3,bellman,0.026130,1
rochester,1,3,convex,0.022350,1
rochester,2,1,bellman,0.010450,1
rochester,2,1,convex,0.035130,1
rochester,2,2,bellman,0.022530,1
rochester,2,2,convex,0.031540,1
rochester,2,3,bellman,0.104900,1
rochester,2,3,convex,0.336830,1
rochester,3,1,bellman,0.010990,1
rochester,3,1,convex,0.035880,1
rochester,3,2,bellman,0.053500,1
rochester,3,2,convex,0.031810,1
rochester,3,3,bellman,0.075330,1
rochester,3,3,convex,0.197710,1
rome,0,1,bellman,0.003900,1
rome,0,1,convex,0.015550,1
rome,0,2,bellman,0.008550,1
rome,0,2,convex,0.012080,1
rome,0,3,bellman,0.013570,1
rome,0,3,convex,0.011960,1
rome,1,1,bellman,0.004130,1
rome,1,1,convex,0.015470,1
rome,1,2,bellman,0.009040,1
rome,1,2,convex,0.012060,1
rome,1,3,bellman,0.013530,1
rome,1,3,convex,0.012330,1
santiago,0,1,bellman,0.004160,1
santiago,0,1,convex,0.017090,1
santiago,0,2,bellman,0.010280,1
santiago,0,2,convex,0.013750,1
santiago,0,3,bellman,0.015410,1
santiago,0,3,convex,0.013790,1
santiago,1,1,bellman,0.004580,1
santiago,1,1,convex,0.016620,1
santiago,1,2,bellman,0.009840,1
santiago,1,2,convex,0.013060,1
santiago,1,3,bellman,0.015250,1
santiago,1,3,convex,0.012770,1
singapore,0,1,bellman,0.006820,1
singapore,0,1,convex,0.023300,1
singapore,0,2,bellman,0.014200,1
singapore,0,2,convex,0.019690,1
singapore,0,3,bellman,0.022180,1
singapore,0,3,convex,0.019700,1
singapore,1,1,bellman,0.006910,1
singapore,1,1,convex,0.023860,1
singapore,1,2,bellman,0.014590,1
singapore,1,2,convex,0.020830,1
singapore,1,3,bellman,0.022810,1
singapore,1,3,convex,0.020520,1
singapore,2,1,bellman,0.005440,1
singapore,2,1,convex,0.019200,1
singapore,2,2,bellman,0.011440,1
singapore,2,2,convex,0.015870,1
singapore,2,3,bellman,0.017840,1
singapore,2,3,convex,0.015860,1
singapore,3,1,bellman,0.006380,1
singapore,3,1,convex,0.021570,1
singapore,3,2,bellman,0.012910,1
singapore,3,2,convex,0.017570,1
singapore,3,3,bellman,0.020190,1
singapore,3,3,convex,0.017510,1
sydney,0,1,bellman,0.006120,1
sydney,0,1,convex,0.020610,1
sydney,0,2,bellman,0.012830,1
sydney,0,2,convex,0.017040,1
sydney,0,3,bellman,0.019370,1
sydney,0,3,convex,0.017090,1
sydney,1,1,bellman,0.006480,1
sydney,1,1,convex,0.022220,1
sydney,1,2,bellman,0.014060,1
sydney,1,2,convex,0.018550,1
sydney,1,3,bellman,0.021600,1
sydney,1,3,convex,0.018470,1
sydney,2,1,bellman,0.008460,1
sydney,2,1,convex,0.030590,1
sydney,2,2,bellman,0.019360,1
sydney,2,2,convex,0.026740,1
sydney,2,3,bellman,0.029070,1
sydney,2,3,convex,0.026580,1
sydney,3,1,bellman,0.008820,1
sydney,3,1,convex,0.030370,1
sydney,3,2,bellman,0.019780,1
sydney,3,2,convex,0.027000,1
sydney,3,3,bellman,0.029530,1
sydney,3,3,convex,0.026930,1
toronto,0,1,bellman,0.006290,1
toronto,0,1,convex,0.022960,1
toronto,0,2,bellman,0.014300,1
toronto,0,2,convex,0.019690,1
