hardware,embedding_index,method,horizon,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
poughkeepsie,0,convex,2,216,283,0.657080,0.551330,0.105750
poughkeepsie,0,convex,3,217,284,0.682440,0.661110,0.021330
poughkeepsie,1,convex,1,218,280,0.661930,0.652670,0.009260
poughkeepsie,1,convex,2,219,283,0.666560,0.652670,0.013890
poughkeepsie,1,convex,3,220,284,0.744150,0.739160,0.004990
prague,0,convex,1,221,280,0.642120,0.598070,0.044050
prague,0,convex,2,222,283,0.663760,0.598070,0.065690
prague,0,convex,3,223,284,0.715150,0.698240,0.016910
prague,1,convex,1,73,280,0.665040,0.661800,0.003240
prague,1,convex,2,74,283,0.666650,0.661800,0.004850
prague,1,convex,3,75,284,0.748100,0.746310,0.001790
quito,0,convex,1,224,280,0.661710,0.652000,0.009710
quito,0,convex,2,225,283,0.666550,0.652000,0.014550
quito,0,convex,3,17,284,0.743460,0.737890,0.005570
quito,1,convex,1,226,280,0.640000,0.592600,0.047400
quito,1,convex,2,227,283,0.663210,0.592600,0.070610
quito,1,convex,3,228,284,0.711560,0.693830,0.017730
rochester,0,convex,1,12,280,0.664430,0.660000,0.004430
rochester,0,convex,2,229,283,0.666640,0.660000,0.006640
rochester,0,convex,3,102,284,0.747200,0.744600,0.002600
rochester,1,convex,1,230,280,0.544420,0.398330,0.146090
rochester,1,convex,2,231,283,0.548750,0.398330,0.150420
rochester,1,convex,3,232,284,0.565780,0.548440,0.017340
rome,0,convex,1,233,280,0.659820,0.646530,0.013290
rome,0,convex,2,234,283,0.666450,0.646530,0.019920
rome,0,convex,3,235,284,0.741530,0.734790,0.006740
rome,1,convex,1,236,280,0.661840,0.652400,0.009440
rome,1,convex,2,237,283,0.666560,0.652400,0.014160
rome,1,convex,3,220,284,0.744130,0.739150,0.004980
santiago,0,convex,1,238,280,0.662620,0.654670,0.007950
santiago,0,convex,2,239,283,0.666590,0.654670,0.011920
santiago,0,convex,3,240,284,0.745120,0.740880,0.004240
santiago,1,convex,1,241,280,0.664520,0.660270,0.004250
santiago,1,convex,2,242,283,0.666650,0.660270,0.006380
santiago,1,convex,3,243,284,0.747460,0.745110,0.002350
